,tpr,fpr,taus
0,1.0,1.0,0.0
1,1.0,1.0,0.002
2,1.0,1.0,0.004
3,1.0,1.0,0.006
4,1.0,1.0,0.008
5,1.0,1.0,0.01
6,1.0,1.0,0.012
7,1.0,1.0,0.014
8,1.0,1.0,0.016
9,1.0,1.0,0.018000000000000002
10,1.0,1.0,0.02
11,1.0,1.0,0.022
12,1.0,1.0,0.024
13,1.0,1.0,0.026000000000000002
14,1.0,1.0,0.028
15,1.0,1.0,0.03
16,1.0,1.0,0.032
17,1.0,1.0,0.034
18,1.0,1.0,0.036000000000000004
19,1.0,1.0,0.038
20,1.0,1.0,0.04
21,1.0,1.0,0.042
22,1.0,1.0,0.044
23,1.0,1.0,0.046
24,1.0,1.0,0.048
25,1.0,1.0,0.05
26,1.0,1.0,0.052000000000000005
27,1.0,1.0,0.054
28,1.0,1.0,0.056
29,1.0,1.0,0.058
30,1.0,1.0,0.06
31,1.0,1.0,0.062
32,1.0,1.0,0.064
33,1.0,1.0,0.066
34,1.0,1.0,0.068
35,1.0,1.0,0.07
36,1.0,1.0,0.07200000000000001
37,1.0,1.0,0.074
38,1.0,1.0,0.076
39,1.0,1.0,0.078
40,1.0,1.0,0.08
41,1.0,1.0,0.082
42,1.0,1.0,0.084
43,1.0,1.0,0.08600000000000001
44,1.0,1.0,0.088
45,1.0,1.0,0.09
46,1.0,1.0,0.092
47,1.0,1.0,0.094
48,1.0,1.0,0.096
49,1.0,1.0,0.098
50,1.0,1.0,0.1
51,1.0,1.0,0.10200000000000001
52,1.0,1.0,0.10400000000000001
53,1.0,1.0,0.106
54,1.0,1.0,0.108
55,1.0,1.0,0.11
56,1.0,1.0,0.112
57,1.0,1.0,0.114
58,1.0,1.0,0.116
59,1.0,1.0,0.11800000000000001
60,1.0,1.0,0.12
61,1.0,1.0,0.122
62,1.0,1.0,0.124
63,1.0,1.0,0.126
64,1.0,1.0,0.128
65,1.0,1.0,0.13
66,1.0,1.0,0.132
67,1.0,1.0,0.134
68,1.0,1.0,0.136
69,1.0,1.0,0.138
70,1.0,1.0,0.14
71,1.0,1.0,0.14200000000000002
72,1.0,1.0,0.14400000000000002
73,1.0,1.0,0.146
74,1.0,1.0,0.148
75,1.0,1.0,0.15
76,1.0,1.0,0.152
77,1.0,1.0,0.154
78,1.0,1.0,0.156
79,1.0,1.0,0.158
80,1.0,1.0,0.16
81,1.0,1.0,0.162
82,1.0,1.0,0.164
83,1.0,1.0,0.166
84,1.0,1.0,0.168
85,1.0,1.0,0.17
86,1.0,1.0,0.17200000000000001
