,tpr,fpr,tau
0,1.0,1.0,0
1,1.0,0.9999999999999964,1
2,1.0,0.9999999999998259,2
3,1.0,0.9999999999958185,3
4,1.0,0.9999999999343707,4
5,1.0,0.9999999992430837,5
6,1.0,0.9999999931597578,6
7,1.0,0.9999999495625893,7
8,1.0,0.9999996879795781,8
9,1.0,0.9999983473666454,9
10,1.0,0.9999923890869447,10
11,1.0,0.9999691517961118,11
12,1.0,0.9998888775186892,12
13,1.0,0.9996413651633027,13
14,0.99999,0.9989559463330018,14
15,0.99999,0.9972423992572494,15
16,0.99998,0.9933583592188775,16
17,0.99992,0.9853475266397353,17
18,0.99992,0.9702683123731148,18
19,0.99968,0.9442985544694906,19
20,0.99868,0.9032936735690313,20
21,0.99868,0.8438365962633654,21
22,0.99767,0.764560493189144,22
23,0.99384,0.6672670939616906,23
24,0.99384,0.5572832513567432,24
25,0.98639,0.44271674864325683,25
26,0.98639,0.3327329060383094,26
27,0.98011,0.23543950681085601,27
28,0.9606,0.15616340373663462,28
29,0.9606,0.09670632643096866,29
30,0.94694,0.055701445530509375,30
31,0.90479,0.02973168762688516,31
32,0.90479,0.01465247336026465,32
33,0.874,0.006641640781122504,33
34,0.83457,0.0027576007427505544,34
35,0.78525,0.0010440536669982237,35
36,0.72617,0.00035863483669729135,36
37,0.65256,0.00011112248131084357,37
38,0.56581,3.0848203888211856e-05,38
39,0.46785,7.610913055344781e-06,39
40,0.36381,1.652633354609634e-06,40
41,0.259,3.1202042194422575e-07,41
42,0.16419,5.043741069243879e-08,42
43,0.08901,6.840242150474296e-09,43
44,0.03949,7.569163074094831e-10,44
45,0.01393,6.562927978848165e-11,45
46,0.00334,4.1815439999481896e-12,46
47,0.00043,1.7408297026122455e-13,47
48,3e-05,3.552713678800501e-15,48
