2024-10-06 06:26:26,920 INFO    MainThread:371601 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_setup.py:_flush():77] Configure stats pid to 371601
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_setup.py:_flush():77] Loading settings from /home/singh/.config/wandb/settings
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_setup.py:_flush():77] Loading settings from /home/singh/benchmarking/wandb/settings
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'train_anchor.py', 'program_abspath': '/home/singh/benchmarking/train_anchor.py', 'program': '/home/singh/benchmarking/train_anchor.py'}
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_init.py:_log_setup():532] Logging user logs to /home/singh/benchmarking/wandb/run-20241006_062626-odlb4723/logs/debug.log
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_init.py:_log_setup():533] Logging internal logs to /home/singh/benchmarking/wandb/run-20241006_062626-odlb4723/logs/debug-internal.log
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_init.py:init():616] calling init triggers
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'w_coeff': 4.0, 'i_coeff': 0.2, 'o_coeff': 2.0, 'gamma': 0.4, 'sharpness': 5.0, 'lr1': 3.412294436539431, 'lr2': 2.7029139099587973, 't0': 10.729509362629805, 'id': 4}
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_init.py:init():666] starting backend
2024-10-06 06:26:26,921 INFO    MainThread:371601 [wandb_init.py:init():670] setting up manager
2024-10-06 06:26:26,940 INFO    MainThread:371601 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-06 06:26:26,968 INFO    MainThread:371601 [wandb_init.py:init():678] backend started and connected
2024-10-06 06:26:26,971 INFO    MainThread:371601 [wandb_init.py:init():773] updated telemetry
2024-10-06 06:26:26,998 INFO    MainThread:371601 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-10-06 06:26:27,331 INFO    MainThread:371601 [wandb_init.py:init():857] starting run threads in backend
2024-10-06 06:26:27,873 INFO    MainThread:371601 [wandb_run.py:_console_start():2459] atexit reg
2024-10-06 06:26:27,873 INFO    MainThread:371601 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-10-06 06:26:27,873 INFO    MainThread:371601 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-10-06 06:26:27,874 INFO    MainThread:371601 [wandb_run.py:_redirect():2397] Redirects installed.
2024-10-06 06:26:27,876 INFO    MainThread:371601 [wandb_init.py:init():900] run started, returning control to user process
2024-10-06 10:52:57,153 WARNING MsgRouterThr:371601 [router.py:message_loop():77] message_loop has been closed
